name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
f18(,e+)o18;5.826454762905361e+24;1.6558;f18;o18;-9.15982;0.0;0.0;0.0;0.0;0.0;0.0
f20(e-,)ne20;1.3208791524190167e+28;7.0249;f20;ne20;-2.77346;0.0;0.0;0.0;0.0;0.0;0.0
f21(e-,)ne21;2.7159263752824225e+28;5.684;f21;ne21;-1.79203;0.0;0.0;0.0;0.0;0.0;0.0
f22(e-,)ne22;4.317679530895159e+28;10.817;f22;ne22;-1.92525;0.0;0.0;0.0;0.0;0.0;0.0
f23(e-,)ne23;6.886576413859333e+28;8.463;f23;ne23;-1.16851;0.0;0.0;0.0;0.0;0.0;0.0
f24(e-,)ne24;5.667594102731273e+29;13.51;f24;ne24;0.514283;0.0;0.0;0.0;0.0;0.0;0.0
f25(e-,)ne25;2.153168429737984e+30;13.422;f25;ne25;1.89655;0.0;0.0;0.0;0.0;0.0;0.0
f26(e-,)ne26;2.6768409878189167e+31;18.186;f26;ne26;4.15258;0.0;0.0;0.0;0.0;0.0;0.0
f27(e-,)ne27;1.2499766294451462e+31;17.594;f27;ne27;3.46213;0.0;0.0;0.0;0.0;0.0;0.0
f28(,e-)ne28;0.0;0.0;f28;ne28;5.49712;0.0;0.0;0.0;0.0;0.0;0.0
f29(e-,)ne29;1.2390828942044902e+32;21.553;f29;ne29;5.62495;0.0;0.0;0.0;0.0;0.0;0.0
f30(,e-)ne30;0.0;0.0;f30;ne30;4.20237;0.0;0.0;0.0;0.0;0.0;0.0
f31(,e-)ne31;0.0;0.0;f31;ne31;4.8967;0.0;0.0;0.0;0.0;0.0;0.0
ne17(,e+)f17;3.2740088196795934e+30;14.549;ne17;f17;1.84989;0.0;0.0;0.0;0.0;0.0;0.0
ne18(,e+)f18;6.1691305345217e+28;4.444;ne18;f18;-0.879336;0.0;0.0;0.0;0.0;0.0;0.0
ne19(,e+)f19;4.137298946441958e+27;3.2394;ne19;f19;-3.21142;0.0;0.0;0.0;0.0;0.0;0.0
ne23(e-,)na23;2.1353948769761892e+27;4.3759;ne23;na23;-3.98282;0.0;0.0;0.0;0.0;0.0;0.0
ne24(e-,)na24;2.1133786317999744e+26;2.466;ne24;na24;-5.67972;0.0;0.0;0.0;0.0;0.0;0.0
ne25(e-,)na25;2.0243319147168846e+29;7.298;ne25;na25;0.140985;0.0;0.0;0.0;0.0;0.0;0.0
ne26(e-,)na26;5.973117544638837e+29;7.339;ne26;na26;1.25674;0.0;0.0;0.0;0.0;0.0;0.0
ne27(e-,)na27;6.035571499964501e+30;12.552;ne27;na27;3.07105;0.0;0.0;0.0;0.0;0.0;0.0
ne28(e-,)na28;8.170993766581276e+30;12.279;ne28;na28;3.43248;0.0;0.0;0.0;0.0;0.0;0.0
ne29(e-,)na29;1.0395787649597335e+31;15.73;ne29;na29;3.46095;0.0;0.0;0.0;0.0;0.0;0.0
ne30(e-,)na30;2.181245861089032e+31;14.665;ne30;na30;4.30619;0.0;0.0;0.0;0.0;0.0;0.0
ne31(e-,)na31;7.232164947647318e+31;18.281;ne31;na31;5.31747;0.0;0.0;0.0;0.0;0.0;0.0
ne32(e-,)na32;6.770996203713202e+31;18.19;ne32;na32;5.28848;0.0;0.0;0.0;0.0;0.0;0.0
ne33(,e-)na33;0.0;0.0;ne33;na33;2.20902;0.0;0.0;0.0;0.0;0.0;0.0
ne34(,e-)na34;0.0;0.0;ne34;na34;3.2944;0.0;0.0;0.0;0.0;0.0;0.0
na19(,e+)ne19;1.589367308040471e+30;11.178;na19;ne19;1.5017;0.0;0.0;0.0;0.0;0.0;0.0
na20(,e+)ne20;5.172358726451065e+29;13.8919;na20;ne20;0.21268;0.0;0.0;0.0;0.0;0.0;0.0
na21(,e+)ne21;3.133888059178568e+27;3.547;na21;ne21;-3.48003;0.0;0.0;0.0;0.0;0.0;0.0
na22(,e+)ne22;6.571741654516404e+20;2.843;na22;ne22;-18.59;0.0;0.0;0.0;0.0;0.0;0.0
na24(e-,)mg24;1.7772087383867914e+24;5.516;na24;mg24;-11.2633;0.0;0.0;0.0;0.0;0.0;0.0
na25(e-,)mg25;1.0839031132665544e+27;3.835;na25;mg25;-4.44574;0.0;0.0;0.0;0.0;0.0;0.0
