name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
s29(,p e+)si28;3.996877071006563e+29;11.0468;s29;p si28;0.555111;0.0;0.0;0.0;0.0;0.0;0.0
si25(a,)s29;8.876979145191001e+68;-9.40882;he4 si25;s29;62.2524;-109.185;-59.1975;0.483925;-0.724803;0.0455403;0.833333
s29(n,)s30;6.613182747895244e+63;-18.9743;n s29;s30;33.9308;-220.187;0.0;1.86133;-0.226269;0.019372;1.5
p29(p,)s30;8.621422631367683e+33;-4.399;p p29;s30;45.3211;-51.0504;-25.6007;0.0;0.0;-2.0;0.833333
p29(p,)s30;5.540576824572496e+220;-4.399;p p29;s30;-1.65202;-54.7698;8.48834;25.65;-3.79773;0.320391;0.0
si26(a,)s30;1.2522892412664576e+84;-9.34282;he4 si26;s30;63.7475;-108.419;-59.3013;0.642868;-0.958008;0.0715476;0.833333
s30(n,)s31;3.063258950860492e+62;-13.0534;n s30;s31;33.2919;-151.478;0.0;1.62298;-0.278802;0.0210647;1.5
p30(p,)s31;inf;-6.13304;p p30;s31;-7732.57;-60.6616;-1999.51;11886.5;-2668.72;354.294;-2898.95
p30(p,)s31;3.155779270085493e+47;-6.13304;p p30;s31;48.4487;-80.154;156.029;-174.377;7.4644;-0.342232;100.758
si27(a,)s31;1.4461671253553431e+106;-9.08526;he4 si27;s31;71.1709;-105.43;-59.3989;-2.288;-0.914054;0.0959821;0.833333
s31(n,)s32;1.0515477691576154e+53;-15.0424;n s31;s32;31.9171;-174.56;0.0;1.71463;-0.221804;0.00880104;1.5
p31(p,)s32;6.576785501997468e+63;-8.86378;p p31;s32;25.1729;-106.637;0.0;8.09341;-0.615971;0.031159;0.0
p31(p,)s32;3.9009338444396e+43;-8.86378;p p31;s32;21.6829;-105.119;0.0;0.0;0.0;0.0;0.0
p31(p,)s32;1.1682246819862224e+22;-8.86378;p p31;s32;43.6109;-102.86;-25.3278;6.4931;-9.27513;-0.610439;0.833333
si28(a,)s32;inf;-6.94782;he4 si28;s32;72.813;-80.626;-59.4896;4.47205;-4.78989;0.557201;0.833333
s32(n,)s33;8.581087853152616e+48;-8.64161;n s32;s33;51.7709;-100.282;0.0;-17.9774;2.26503;-0.184448;5.5
p32(p,)s33;1.9412857710636e+47;-9.57;p p32;s33;130.726;-114.848;147.624;-261.318;14.2732;-0.776243;128.247
si29(a,)s33;2.495777968557623e+278;-7.11586;he4 si29;s33;73.7708;-82.576;-59.5755;1.06274;-3.07529;0.372011;0.833333
s33(n,)s34;4.533701011751266e+48;-11.4171;n s33;s34;52.3954;-132.49;0.0;-15.6387;2.34237;-0.222018;4.5
p33(p,)s34;2.484733339354775e+46;-10.883;p p33;s34;198.208;-130.135;161.691;-350.015;24.3597;-1.56396;151.463
si30(a,)s34;4.893009194436226e+220;-7.92378;he4 si30;s34;72.4051;-91.9515;-59.6559;3.70141;-3.12537;0.307626;0.833333
s34(n,)s35;7.0260033880290735e+40;-6.986;n s34;s35;34.855;-81.069;0.0;-7.65798;0.0;0.0;1.5
s34(n,)s35;1.0464001881330789e+52;-6.986;n s34;s35;34.4235;-81.069;0.0;-1.02453;0.0;0.0;2.5
p34(p,)s35;2.4632062500046275e+46;-11.578;p p34;s35;101.975;-138.051;131.034;-217.078;11.6341;-0.651346;111.268
si31(a,)s35;inf;-8.322;he4 si31;s35;-48.3481;-98.5134;-98.5176;171.207;-14.3839;0.960708;-60.4936
s35(n,)s36;2.0662975911433344e+49;-9.88904;n s35;s36;40.1077;-114.757;0.0;-2.51293;0.668068;-0.0786735;1.5
p35(p,)s36;7.126235220071276e+45;-13.095;p p35;s36;111.012;-155.732;136.559;-231.994;12.8603;-0.734984;116.668
si32(a,)s36;inf;-9.008;he4 si32;s36;-128.015;-104.996;-232.306;393.438;-25.2071;1.4457;-169.971
s36(n,)s37;6.481697660017725e+50;-4.304;n s36;s37;31.722;-49.9458;0.0;0.0;0.0;0.0;1.5
p36(p,)s37;1.8970782014456837e+45;-13.934;p p36;s37;106.031;-165.521;137.687;-229.892;12.4864;-0.692224;116.75
si33(a,)s37;inf;-8.829;he4 si33;s37;-265.226;-100.81;-414.921;728.172;-48.246;2.9343;-317.298
s37(n,)s38;1.0180105274412944e+50;-8.036;n s37;s38;37.9339;-93.2869;1.83701;-2.55851;0.29562;-0.0325916;2.45506
p37(p,)s38;1.397463156133167e+45;-15.155;p p37;s38;106.605;-179.729;139.329;-231.71;12.5863;-0.697055;117.76
si34(a,)s38;inf;-9.329;he4 si34;s38;-246.79;-106.687;-407.711;701.313;-45.984;2.77802;-308.229
s38(n,)s39;2.1415940142925974e+53;-4.372;n s38;s39;29.2941;-50.7307;-1.59474;6.13833;-0.409248;0.0144884;-0.70685
p38(p,)s39;2.132070495744713e+45;-15.984;p p38;s39;104.901;-189.383;139.893;-230.594;12.3874;-0.668382;117.749
si35(a,)s39;inf;-11.226;he4 si35;s39;-269.563;-128.56;-425.766;745.236;-49.4711;3.03018;-325.244
s39(n,)s40;3.3666367397685113e+49;-7.76;n s39;s40;36.3412;-90.0598;-0.173344;0.973676;0.0385544;-0.0217221;0.858078
p39(p,)s40;2.2803430706083184e+44;-17.489;p p39;s40;107.865;-206.912;143.616;-237.974;13.0387;-0.728036;120.846
si36(a,)s40;inf;-12.874;he4 si36;s40;-269.877;-147.718;-425.566;744.167;-49.1979;2.98724;-325.007
s41(,n e-)cl40;8.67817491832708e+22;1.59863;s41;n cl40;-12.5088;0.0;0.0;0.0;0.0;0.0;0.0
s40(n,)s41;1.8553486394949142e+48;-3.824;n s40;s41;37.1003;-44.4017;2.65819;-8.38527;1.10835;-0.112549;4.28929
p40(p,)s41;1.36803018015452e+44;-17.554;p p40;s41;108.104;-207.725;145.85;-241.07;13.1823;-0.733677;122.475
si37(a,)s41;inf;-14.502;he4 si37;s41;-275.471;-166.609;-430.174;755.371;-50.1254;3.05814;-329.438
s42(,n e-)cl41;5.32507828331726e+17;2.90863;s42;n cl41;-25.0845;0.0;0.0;0.0;0.0;0.0;0.0
s41(n,)s42;3.2943101060721797e+49;-6.711;n s41;s42;38.6222;-77.9125;2.27591;-4.95255;0.439305;-0.0399335;3.25276
p41(p,)s42;3.928407706122041e+43;-19.687;p p41;s42;107.624;-232.51;147.176;-241.809;13.1661;-0.729183;123.154
si38(a,)s42;inf;-15.922;he4 si38;s42;-279.611;-183.076;-434.128;763.63;-50.6707;3.0897;-333.017
s42(n,)s43;6.66596608431562e+47;-3.311;n s42;s43;34.1389;-38.4399;2.00961;-6.33956;1.03082;-0.116596;3.70129
s43(,n e-)cl42;6.617961316602219e+28;4.7707;s43;n cl42;-0.00983798;0.0;0.0;0.0;0.0;0.0;0.0
p42(p,)s43;2.4103136486139057e+43;-20.063;p p42;s43;108.308;-236.933;149.62;-245.348;13.3379;-0.737155;124.994
si39(a,)s43;inf;-15.456;he4 si39;s43;-282.601;-177.691;-436.431;769.291;-51.1015;3.12234;-335.296
s43(n,)s44;2.0916754418506851e+49;-5.302;n s43;s44;37.2336;-61.5774;3.68525;-7.17964;0.68614;-0.0552856;4.36443
s44(,n e-)cl43;1.2362161739136258e+29;7.2377;s44;n cl43;0.221274;0.0;0.0;0.0;0.0;0.0;0.0
p43(p,)s44;5.632958370613196e+43;-19.861;p p43;s44;108.545;-234.627;150.724;-245.794;13.2908;-0.731658;125.491
si40(a,)s44;inf;-16.629;he4 si40;s44;-288.799;-191.287;-441.137;781.33;-52.1616;3.19948;-339.953
s44(n,)s45;3.8596624602250705e+47;-1.334;n s44;s45;44.3246;-15.5878;10.2394;-28.0387;3.06535;-0.255697;11.3019
s45(,n e-)cl44;6.294783108737658e+29;8.5447;s45;n cl44;1.70555;0.0;0.0;0.0;0.0;0.0;0.0
p44(p,)s45;1.6388619616324142e+42;-21.571;p p44;s45;113.031;-254.502;152.801;-254.895;14.176;-0.795282;128.227
si41(a,)s45;inf;-14.846;he4 si41;s45;-293.925;-170.575;-446.901;792.166;-52.7046;3.22317;-344.924
s46(,n e-)cl45;1.0882355330906466e+30;10.5204;s46;n cl45;2.06704;0.0;0.0;0.0;0.0;0.0;0.0
s45(n,)s46;1.0931968391645407e+48;-3.705;n s45;s46;30.3596;-43.0019;-0.99403;3.45885;-0.103868;-0.0179374;-0.15608
p45(p,)s46;2.565560425961934e+42;-22.745;p p45;s46;111.761;-268.193;156.749;-256.359;13.9073;-0.766565;130.369
si42(a,)s46;inf;-13.574;he4 si42;s46;-299.8;-155.795;-451.507;802.833;-53.5723;3.28238;-349.254
s47(,n e-)cl46;1.9110321301800964e+30;12.6576;s47;n cl46;2.46684;0.0;0.0;0.0;0.0;0.0;0.0
s46(n,)s47;7.484823636995767e+46;-0.57;n s46;s47;34.1786;-6.67979;5.31831;-14.892;2.43192;-0.242185;6.21935
p46(p,)s47;5.677098536232467e+41;-22.925;p p46;s47;115.534;-270.331;159.147;-264.029;14.4613;-0.795835;133.025
si43(a,)s47;inf;-15.824;he4 si43;s47;-293.471;-181.993;-446.801;791.93;-52.7379;3.23138;-344.868
s47(n,)s48;8.269677808306009e+47;-3.246;n s47;s48;31.8325;-37.7035;1.62487;-1.26306;0.161481;-0.0318581;2.06926
s48(,n e-)cl47;0.0;0.0;s48;n cl47;3.85974;0.0;0.0;0.0;0.0;0.0;0.0
p47(p,)s48;3.31581597380746e+42;-22.421;p p47;s48;109.81;-264.51;159.15;-256.882;13.7128;-0.743534;131.479
si44(a,)s48;inf;-17.546;he4 si44;s48;-297.479;-201.96;-450.635;799.422;-53.1802;3.25335;-348.232
s48(n,g)s49;6.868681132847464e+45;0.132;n s48;s49;84.5874;-3.81195;165.072;-236.382;13.7513;-0.849775;121.95
s49(,n e-)cl48;0.0;0.0;s49;n cl48;3.37159;0.0;0.0;0.0;0.0;0.0;0.0
si45(a,)s49;inf;-18.617;he4 si45;s49;-295.535;-214.344;-455.881;801.849;-52.9328;3.22892;-351.252
s27(p,g)cl28;2.095310564694371e+163;1.72503;p s27;cl28;5.2861;0.0;0.0;18.7376;-2.43715;0.208536;0.0
p24(a,)cl28;7.584326137347763e+66;-7.86492;he4 p24;cl28;62.2812;-91.2724;-61.8692;0.896017;-0.688903;0.0410111;0.833333
cl28(n,)cl29;8.831636852964203e+48;-21.4853;n cl28;cl29;32.9124;-249.326;0.0;0.919021;0.03556;-0.0104944;1.5
s28(p,g)cl29;4.369785037049232e+150;1.78083;p s28;cl29;5.32364;0.0;0.0;19.1618;-2.43847;0.194115;0.0
p25(a,)cl29;4.191935610269237e+63;-8.15392;he4 p25;cl29;61.657;-94.6222;-61.9857;0.825832;-0.695885;0.0383237;0.833333
cl29(n,)cl30;2.239045040019637e+50;-16.7713;n cl29;cl30;33.7756;-194.631;0.0;-0.350513;0.230344;-0.0154565;1.5
s29(p,g)cl30;9.477648766409422e+224;0.313611;p s29;cl30;4.72977;0.000155511;0.0;21.3406;-3.25229;0.307741;0.0
p26(a,)cl30;6.3882626051711164e+69;-8.95492;he4 p26;cl30;64.1105;-103.922;-62.0947;0.561637;-0.733357;0.0461301;0.833333
cl30(n,)cl31;1.2100569739208766e+50;-19.5815;n cl30;cl31;33.9218;-227.243;0.0;-0.282928;0.19149;-0.0132922;1.5
s30(p,)cl31;7.792741504529418e+44;-0.29;p s30;cl31;27.1009;-8.72268;0.0;0.0;0.0;0.0;0.0
s30(p,)cl31;3.881956146990019e+44;-0.29;p s30;cl31;39.2185;-3.3653;-26.5445;2.36819;-0.795998;0.0151029;0.833333
cl31(,p e+)p30;3.67376131335455e+27;5.845;cl31;p p30;-3.43124;0.0;0.0;0.0;0.0;0.0;0.0
p27(a,)cl31;1.3827469700077198e+70;-8.77505;he4 p27;cl31;63.153;-101.83;-62.196;0.447106;-0.73871;0.0474553;0.833333
cl31(n,)cl32;3.3407205418978504e+56;-14.3339;n cl31;cl32;33.9195;-166.338;0.0;0.499463;-0.0171976;0.00471987;1.5
s31(p,)cl32;2.8891131953368902e+47;-1.574;p s31;cl32;26.5247;-24.6248;0.0;3.202;0.101684;-0.0334894;0.0
s31(p,)cl32;6.1305299620362065e+38;-1.574;p s31;cl32;11.4998;-20.041;0.0;0.0;0.0;0.0;0.0
s31(p,)cl32;1303613432.2249668;-1.574;p s31;cl32;29.5568;-18.2655;-25.3278;42.7226;-102.23;-2.0;0.833333
cl32(,p e+)p31;5.014072704844575e+25;3.8165;cl32;p p31;-7.26758;0.0;0.0;0.0;0.0;0.0;0.0
p28(a,)cl32;1.7498609515753413e+74;-8.59593;he4 p28;cl32;66.5661;-99.7515;-62.2912;-0.0652088;-0.754179;0.0521034;0.833333
cl32(,e+ a)si28;1.255308232040774e+26;5.7329;cl32;he4 si28;-6.75675;0.0;0.0;0.0;0.0;0.0;0.0
cl32(n,)cl33;4.4509835916273396e+66;-15.745;n cl32;cl33;33.6151;-182.713;0.0;1.33999;-0.226447;0.0236307;1.5
s32(p,)cl33;8.939600944571462e+27;-2.2767;p s32;cl33;74.7432;-26.4211;-29.7741;-87.4473;182.189;-128.625;0.833333
s32(p,)cl33;5.649892489839582e+31;-2.2767;p s32;cl33;-4.96497;-27.2952;0.0;0.0;0.0;0.0;0.0
s32(p,)cl33;4.0492713706856445e+47;-2.2767;p s32;cl33;91.6078;-29.4248;-33.7204;-32.7355;3.92526;-0.250479;0.0
p29(a,)cl33;1.7009929844974957e+97;-6.47572;he4 p29;cl33;66.203;-75.1475;-62.3802;0.593062;-1.14226;0.0934776;0.833333
cl33(n,)cl34;4.7394116690634726e+50;-11.5077;n cl33;cl34;33.1968;-133.541;0.0;0.921411;-0.0823764;0.000852746;1.5
s33(p,)cl34;5.2175449847851897e+185;-5.14275;p s33;cl34;61.5381;-59.679;-26.777;-5.96882;-1.0706;0.19692;0.833333
p30(a,)cl34;1.5697332278791937e+110;-6.66412;he4 p30;cl34;71.335;-77.3338;-62.4643;-3.19028;-0.832633;0.0987525;0.833333
cl34(n,)cl35;1.3962233439383877e+53;-12.6451;n cl34;cl35;34.9299;-146.74;0.0;0.990222;-0.146686;0.00560251;1.5
s34(p,)cl35;1.1626619081006927e+208;-6.37072;p s34;cl35;56.3937;-73.929;-26.7848;-0.769663;-1.74111;0.243095;0.833333
p31(a,)cl35;2.3361160132017005e+89;-6.99757;he4 p31;cl35;74.6679;-81.2033;-62.5433;-2.95026;-0.89652;0.0774126;0.833333
cl35(n,)cl36;1.9453747361797423e+53;-8.58;n cl35;cl36;37.2044;-99.5666;0.0;0.0;0.0;0.0;1.5
cl35(n,)cl36;3.306455328793738e+49;-8.58;n cl35;cl36;35.434;-99.7429;0.0;0.0;0.0;0.0;0.0
s35(p,)cl36;1.0495569272470051e+268;-7.96447;p s35;cl36;58.5526;-92.4237;-26.7922;-1.83516;-2.03932;0.322305;0.833333
p32(a,)cl36;inf;-7.641;he4 p32;cl36;-95.0744;-90.1599;-158.272;281.836;-20.652;1.28543;-111.225
cl36(n,)cl37;9.268492915183388e+56;-10.311;n cl36;cl37;38.9232;-119.654;0.0;-0.97876;0.113384;0.0;1.5
s36(p,)cl37;1.2736436336222384e+176;-8.38643;p s36;cl37;56.2542;-97.3203;-26.7991;0.0770118;-1.71514;0.205981;0.833333
p33(a,)cl37;7.205424318958723e+141;-7.849;he4 p33;cl37;75.154;-94.4688;21.2001;-84.0086;1.39426;0.0896178;49.3178
cl37(n,)cl38;9.018555809135303e+41;-6.108;n cl37;cl38;36.0864;-70.8803;0.0;0.335273;-1.72967;0.0;1.5
cl37(n,)cl38;1.8467549140680844e+52;-6.108;n cl37;cl38;34.9583;-70.8803;0.0;0.0;0.0;0.0;1.5
s37(p,)cl38;4.840030704410686e+46;-10.191;p s37;cl38;111.451;-122.287;144.546;-241.034;13.0821;-0.729868;122.109
p34(a,)cl38;inf;-7.665;he4 p34;cl38;-261.25;-87.1078;-440.51;749.938;-48.8067;2.93472;-331.794
cl38(n,)cl39;1.0875699674802702e+91;-8.073;n cl38;cl39;32.051;-93.68;-2.10317;8.96391;-1.03255;0.0781774;-1.57748
s38(p,)cl39;7.188310612974882e+45;-10.228;p s38;cl39;113.067;-122.774;147.719;-247.717;13.5477;-0.759751;124.849
p35(a,)cl39;inf;-7.367;he4 p35;cl39;-80.1144;-87.6871;-114.707;218.798;-16.8301;1.05305;-79.877
cl39(n,)cl40;5.71716749377675e+49;-5.829;n cl39;cl40;36.3049;-67.6696;1.38817;-1.52329;0.0974117;-0.015701;2.10682
s39(p,)cl40;5.40896021289403e+45;-11.685;p s39;cl40;111.715;-139.737;150.322;-249.917;13.7849;-0.777739;126.575
p36(a,)cl40;inf;-9.732;he4 p36;cl40;-285.5;-111.152;-448.258;783.782;-51.779;3.14591;-342.532
cl40(n,)cl41;9.956558015440352e+49;-7.853;n cl40;cl41;39.1249;-91.1492;0.983938;-1.49503;0.00631608;-0.0103406;1.97958
s40(p,)cl41;2.86614982423405e+45;-11.779;p s40;cl41;112.869;-140.878;152.601;-253.723;14.05;-0.799299;128.307
p37(a,)cl41;inf;-10.769;he4 p37;cl41;-286.81;-123.22;-448.772;786.018;-51.9413;3.15343;-343.349
cl41(n,)cl42;6.668482871758857e+48;-5.72;n cl41;cl42;42.7125;-66.4487;6.85772;-14.5057;0.785318;-0.0531943;7.67292
s41(p,)cl42;1.6225074098200813e+45;-13.674;p s41;cl42;112.56;-162.923;154.417;-255.161;14.0489;-0.788924;129.409
p38(a,)cl42;inf;-12.946;he4 p38;cl42;-291.469;-148.467;-453.685;795.907;-52.6415;3.2027;-347.632
cl42(n,)cl43;2.5324544227454053e+49;-7.113;n cl42;cl43;39.7388;-82.5758;2.11225;-4.54775;0.299096;-0.0327172;3.11095
cl43(,n e-)ar42;0.0;0.0;cl43;n ar42;-5.78493;0.0;0.0;0.0;0.0;0.0;0.0
s42(p,)cl43;3.6784031007355855e+44;-14.076;p s42;cl43;111.223;-167.626;155.508;-255.726;14.0345;-0.79028;129.948
p39(a,)cl43;inf;-13.804;he4 p39;cl43;-298.111;-158.428;-458.313;807.931;-53.5702;3.26486;-352.327
cl44(,n e-)ar43;4.518978291317011e+27;3.3327;cl44;n ar43;-2.31242;0.0;0.0;0.0;0.0;0.0;0.0
cl43(n,)cl44;3.109644620382604e+48;-4.033;n cl43;cl44;28.3083;-46.7746;-3.62747;9.24735;-0.465005;-0.00433101;-2.29359
s43(p,)cl44;4.8456224513767096e+44;-14.798;p s43;cl44;112.217;-176.058;158.027;-259.169;14.1899;-0.790328;131.759
p40(a,)cl44;inf;-14.079;he4 p40;cl44;-300.02;-161.61;-461.432;812.453;-53.7722;3.27546;-354.718
cl44(n,)cl45;9.342206468092319e+48;-6.99;n cl44;cl45;40.8484;-81.1387;2.3592;-7.02607;0.416968;-0.0340408;3.88165
cl45(,n e-)ar44;3.3665617209160445e+28;6.2427;cl45;n ar44;-0.909322;0.0;0.0;0.0;0.0;0.0;0.0
s44(p,)cl45;2.578816979769871e+43;-16.22;p s44;cl45;108.559;-192.583;158.18;-257.287;14.0077;-0.779948;131.317
p41(a,)cl45;inf;-16.49;he4 p41;cl45;-307.223;-189.587;-465.811;824.257;-54.7268;3.34274;-359.2
cl45(n,)cl46;1.1310810659443324e+49;-2.389;n cl45;cl46;36.9341;-27.7635;3.03579;-7.70777;1.02399;-0.094149;3.99616
cl46(,n e-)ar45;1.8519374440052687e+29;7.8887;cl46;n ar45;0.583679;0.0;0.0;0.0;0.0;0.0;0.0
s45(p,)cl46;1.2675734820724426e+44;-17.275;p s45;cl46;111.878;-204.889;161.102;-261.478;14.1615;-0.782123;133.552
p42(a,)cl46;inf;-15.679;he4 p42;cl46;-308.065;-180.142;-471.662;833.837;-55.1918;3.36509;-363.91
cl47(,n e-)ar46;1.0167999344769821e+30;11.5607;cl47;n ar46;1.92612;0.0;0.0;0.0;0.0;0.0;0.0
cl46(n,)cl47;7.9722080617985e+47;-4.081;n cl46;cl47;46.1406;-47.3498;1.52574;-14.6735;1.17381;-0.078759;5.08367
s46(p,)cl47;1.743268575368223e+43;-17.651;p s46;cl47;111.78;-209.309;164.072;-266.078;14.3791;-0.791926;135.832
p43(a,)cl47;inf;-14.256;he4 p43;cl47;-314.207;-163.658;-473.613;840.777;-55.8555;3.41197;-366.239
cl48(,n e-)ar47;8.681974368964128e+29;12.1763;cl48;n ar47;1.73742;0.0;0.0;0.0;0.0;0.0;0.0
cl47(n,)cl48;1.3225265410571088e+48;-1.493;n cl47;cl48;36.2156;-17.3956;5.7267;-11.7144;1.05037;-0.0851855;6.2042
s47(p,)cl48;3.444132221572828e+43;-18.574;p s47;cl48;116.463;-220.088;168.441;-274.086;14.7667;-0.804162;139.497
p44(a,)cl48;inf;-16.125;he4 p44;cl48;-321.106;-185.105;-495.439;869.766;-56.8483;3.43979;-382.601
cl49(,n e-)ar48;1.59451480355603e+31;14.2471;cl49;n ar48;4.51158;0.0;0.0;0.0;0.0;0.0;0.0
cl48(n,)cl49;4.505003498915455e+47;-3.384;n cl48;cl49;45.2407;-39.2522;0.522734;-13.2979;1.16767;-0.0828858;4.20019
s48(p,)cl49;5.795255672583754e+42;-18.712;p s48;cl49;116.822;-221.74;171.07;-278.699;15.0657;-0.82435;141.591
p45(a,)cl49;inf;-16.978;he4 p45;cl49;-318.947;-195.186;-484.165;855.93;-56.5208;3.4428;-374.326
cl50(,n e-)ar49;2.7473073253015034e+31;15.4424;cl50;n ar49;4.99542;0.0;0.0;0.0;0.0;0.0;0.0
cl49(n,)cl50;7.471739057225966e+46;-0.809;n cl49;cl50;37.0814;-9.41705;3.22415;-13.5389;1.67622;-0.141047;5.26331
s49(p,)cl50;3.808537838100431e+42;-19.653;p s49;cl50;121.773;-232.719;175.704;-288.434;15.6933;-0.857588;145.676
p46(a,)cl50;inf;-17.397;he4 p46;cl50;-336.109;-199.754;-511.772;901.065;-58.8153;3.55568;-396.651
cl50(n,)cl51;1.526371717123992e+48;-2.671;n cl50;cl51;40.4286;-31.0284;3.20451;-11.1319;0.908524;-0.0684158;4.90295
cl51(,n e-)ar50;0.0;0.0;cl51;n ar50;3.81828;0.0;0.0;0.0;0.0;0.0;0.0
p47(a,)cl51;inf;-16.318;he4 p47;cl51;-338.513;-187.364;-505.261;898.102;-59.205;3.59835;-392.77
cl51(n,g)cl52;2.3309606857082405e+45;0.203;n cl51;cl52;121.976;-5.63363;247.79;-361.368;20.5235;-1.18412;182.763
cl52(,n e-)ar51;0.0;0.0;cl52;n ar51;1.74811;0.0;0.0;0.0;0.0;0.0;0.0
cl28(p,)ar29;1.2438388444984823e+98;-0.138971;p cl28;ar29;62.0321;-1.61269;-27.833;-13.0739;0.606952;0.0419218;0.833333
ar29(n,)ar30;2.0483133677262302e+52;-23.3983;n ar29;ar30;32.7193;-271.526;0.0;0.78454;0.0158791;-0.00114403;1.5
cl29(p,)ar30;1.4257346089869844e+98;-0.348971;p cl29;ar30;63.5249;-4.04963;-27.8439;-13.6678;0.743042;0.0358561;0.833333
s26(a,)ar30;2.6061795509678617e+57;-8.31192;he4 s26;ar30;62.1324;-96.4557;-64.8264;0.430868;-0.647762;0.0303891;0.833333
ar30(n,)ar31;1.364731534393079e+52;-16.8613;n ar30;ar31;31.6194;-195.675;0.0;0.496438;0.0367452;-0.00135434;1.5
cl30(p,)ar31;6.953229108827333e+126;-0.438971;p cl30;ar31;62.7143;-5.09426;-27.8542;-11.9372;0.258101;0.0855887;0.833333
ar31(,p e+)s30;9.034905440062673e+30;18.067;ar31;p s30;3.24853;0.0;0.0;0.0;0.0;0.0;0.0
s27(a,)ar31;1.4958877597633921e+69;-8.67492;he4 s27;ar31;64.0455;-100.672;-64.9324;0.663455;-0.753231;0.0464906;0.833333
ar31(n,)ar32;1.3840495125402181e+50;-21.5645;n ar31;ar32;34.2061;-250.256;0.0;-0.324027;0.191147;-0.0127061;1.5
cl31(p,)ar32;7.526099537862556e+52;-2.42;p cl31;ar32;45.7557;-28.0829;-27.8568;0.0;0.0;0.0;0.833333
ar32(,p e+)s31;4.393111013732851e+29;9.554;ar32;p s31;0.893297;0.0;0.0;0.0;0.0;0.0;0.0
s28(a,)ar32;5.176762108999403e+70;-8.69832;he4 s28;ar32;64.9826;-100.94;-65.031;0.269344;-0.818256;0.0515944;0.833333
ar32(n,)ar33;3.555514947401656e+51;-15.2553;n ar32;ar33;33.3758;-177.03;0.0;-0.214074;0.129622;-0.00588429;1.5
cl32(p,)ar33;6.01516706604154e+37;-3.343;p cl32;ar33;44.4051;-38.7938;-27.8029;0.0;0.0;-1.0;0.833333
cl32(p,)ar33;8.176841080307512e+46;-3.343;p cl32;ar33;22.349;-43.8648;0.0;7.33571;-0.458163;-0.014725;0.0
cl32(p,)ar33;2.6601462919638107e+34;-3.343;p cl32;ar33;0.933878;-40.1016;0.0;0.0;0.0;0.0;0.0
cl32(p,)ar33;45212098.73249085;-3.343;p cl32;ar33;-60.716;-39.0537;0.0;0.0;0.0;0.0;0.0
ar33(,p e+)s32;2.6443742435027707e+29;9.3425;ar33;p s32;0.43862;0.0;0.0;0.0;0.0;0.0;0.0
s29(a,)ar33;7.223867244980913e+77;-8.64947;he4 s29;ar33;67.2244;-100.373;-65.124;-0.021112;-0.799069;0.0579505;0.833333
ar33(n,)ar34;5.406616586656548e+53;-17.0644;n ar33;ar34;34.0802;-198.024;0.0;0.607673;-0.00457904;0.000938744;1.5
cl33(p,)ar34;1.02973670889684e+224;-4.66276;p cl33;ar34;60.177;-54.109;-27.8815;-3.18731;-1.76254;0.264735;0.833333
s30(a,)ar34;1.0407634478245959e+52;-6.7396;he4 s30;ar34;68.017;-78.2097;-65.211;-1.41447;-0.542976;0.0211165;0.833333
ar34(n,)ar35;1.440082977675206e+56;-12.7415;n ar34;ar35;32.9759;-147.859;0.0;1.14834;-0.142306;0.00918793;1.5
cl34(p,)ar35;9.063865854796873e+267;-5.89661;p cl34;ar35;57.222;-68.4272;-27.8896;-0.491144;-2.47595;0.34035;0.833333
s31(a,)ar35;2.3883016456473187e+46;-6.42768;he4 s31;ar35;80.3587;-74.59;-65.2934;-13.3991;1.97512;-0.208606;0.833333
ar35(n,)ar36;5.983340428391162e+48;-15.2554;n ar35;ar36;33.8152;-177.031;0.0;0.542023;0.0223868;-0.0120062;1.5
cl35(p,)ar36;3.4663764118491664e+26;-8.50697;p cl35;ar36;-17.4751;-99.2838;0.0;0.0;0.0;0.0;0.0
cl35(p,)ar36;2.81746441273142e+16;-8.50697;p cl35;ar36;60.7366;-98.7191;-27.8971;-16.2304;35.255;-25.8411;0.833333
cl35(p,)ar36;1.910960317998797e+188;-8.50697;p cl35;ar36;17.2028;-102.37;0.0;18.0179;-2.86304;0.250854;0.0
cl35(p,)ar36;1.1994719181317801e+41;-8.50697;p cl35;ar36;16.0169;-100.729;0.0;0.0;0.0;0.0;0.0
s32(a,)ar36;inf;-6.64076;he4 s32;ar36;73.8164;-77.0627;-65.3709;5.68294;-5.00388;0.571407;0.833333
ar36(n,)ar37;1.7487883979817834e+52;-8.789;n ar36;ar37;36.642;-101.992;0.0;-0.391756;0.0;0.0;1.5
cl36(p,)ar37;4.499721555813591e+162;-8.71477;p cl36;ar37;57.9101;-101.131;-27.9044;-0.481331;-1.50793;0.182531;0.833333
s33(a,)ar37;3.2558048072422144e+261;-6.78658;he4 s33;ar37;74.852;-78.7549;-65.4446;3.59607;-3.40501;0.363961;0.833333
ar37(n,)ar38;4.72594123994675e+49;-11.8382;n ar37;ar38;39.8454;-137.376;0.0;-0.825362;0.336634;-0.0509617;1.5
cl37(p,)ar38;4.6099933768146416e+184;-10.242;p cl37;ar38;59.0616;-118.853;-27.9113;0.282028;-1.80122;0.21751;0.833333
s34(a,)ar38;1.1996221689355788e+47;-7.208;he4 s34;ar38;115.269;-147.06;0.0;-62.1734;9.25995;-0.666665;0.0
