         t  he3                            
       k52 ca52                            
       k53 ca53                            
       k54 ca54                            
       k55 ca55                            
       k56 ca56                            
       k57 ca57                            
       k58 ca58                            
       k59 ca59                            
       k60 ca60                            
       k61 ca61                            
       k62 ca62                            
       k64 ca64                            
       k66 ca66                            
       k68 ca68                            
       k70 ca70                            
      ca30  k30                            
      ca31  k31                            
      ca32  k32                            
      ca33  k33                            
      ca34  k34                            
      ca35  k35                            
      ca36  k36                            
      ca37  k37                            
      ca38  k38                            
      ca39  k39                            
      ca41  k41                            
      ca45 sc45                            
      ca47 sc47                            
      ca48 sc48                            
      ca49 sc49                            
      ca50 sc50                            
      ca51 sc51                            
      ca52 sc52                            
      ca53 sc53                            
      ca54 sc54                            
      ca55 sc55                            
      ca56 sc56                            
      ca57 sc57                            
      ca58 sc58                            
      ca59 sc59                            
      ca60 sc60                            
      ca61 sc61                            
      ca62 sc62                            
      ca63 sc63                            
      ca64 sc64                            
      ca65 sc65                            
      ca66 sc66                            
      ca67 sc67                            
      ca69 sc69                            
      ca71 sc71                            
      ca73 sc73                            
      sc32 ca32                            
      sc33 ca33                            
      sc34 ca34                            
      sc35 ca35                            
      sc36 ca36                            
      sc37 ca37                            
      sc38 ca38                            
      sc39 ca39                            
      sc40 ca40                            
      sc41 ca41                            
      sc42 ca42                            
      sc43 ca43                            
      sc44 ca44                            
      sc46 ca46                            
      sc46 ti46                            
      sc47 ti47                            
      sc48 ti48                            
      sc49 ti49                            
      sc50 ti50                            
      sc51 ti51                            
      sc52 ti52                            
      sc53 ti53                            
      sc54 ti54                            
      sc55 ti55                            
      sc56 ti56                            
      sc57 ti57                            
      sc58 ti58                            
      sc59 ti59                            
      sc60 ti60                            
      sc61 ti61                            
      sc62 ti62                            
      sc63 ti63                            
      sc64 ti64                            
      sc65 ti65                            
      sc66 ti66                            
      sc67 ti67                            
      sc68 ti68                            
      sc70 ti70                            
      sc72 ti72                            
      sc74 ti74                            
      ti34 sc34                            
      ti35 sc35                            
      ti36 sc36                            
      ti37 sc37                            
      ti38 sc38                            
      ti39 sc39                            
      ti41 sc41                            
      ti42 sc42                            
      ti43 sc43                            
      ti44 sc44                            
      ti45 sc45                            
      ti51  v51                            
      ti52  v52                            
      ti53  v53                            
      ti54  v54                            
      ti55  v55                            
      ti56  v56                            
      ti57  v57                            
      ti58  v58                            
      ti59  v59                            
      ti60  v60                            
      ti61  v61                            
      ti62  v62                            
      ti63  v63                            
      ti64  v64                            
      ti65  v65                            
      ti66  v66                            
      ti67  v67                            
      ti68  v68                            
      ti69  v69                            
      ti70  v70                            
      ti71  v71                            
      ti72  v72                            
      ti73  v73                            
      ti75  v75                            
      ti77  v77                            
       v36 ti36                            
       v37 ti37                            
       v38 ti38                            
       v39 ti39                            
       v40 ti40                            
       v41 ti41                            
       v42 ti42                            
       v43 ti43                            
       v44 ti44                            
       v45 ti45                            
       v46 ti46                            
       v47 ti47                            
       v48 ti48                            
       v49 ti49                            
       v50 ti50                            
       v50 cr50                            
       v52 cr52                            
       v53 cr53                            
       v54 cr54                            
       v55 cr55                            
       v56 cr56                            
       v57 cr57                            
       v58 cr58                            
       v59 cr59                            
       v60 cr60                            
       v61 cr61                            
       v62 cr62                            
       v63 cr63                            
       v64 cr64                            
       v65 cr65                            
       v66 cr66                            
       v67 cr67                            
       v68 cr68                            
       v69 cr69                            
       v70 cr70                            
       v71 cr71                            
       v72 cr72                            
       v73 cr73                            
       v74 cr74                            
       v76 cr76                            
       v78 cr78                            
       v82 cr82                            
      cr38  v38                            
      cr39  v39                            
      cr40  v40                            
      cr41  v41                            
      cr42  v42                            
      cr43  v43                            
      cr44  v44                            
      cr45  v45                            
      cr46  v46                            
      cr47  v47                            
      cr48  v48                            
      cr49  v49                            
      cr51  v51                            
      cr55 mn55                            
      cr56 mn56                            
      cr57 mn57                            
      cr58 mn58                            
      cr59 mn59                            
      cr60 mn60                            
      cr61 mn61                            
      cr62 mn62                            
      cr63 mn63                            
      cr64 mn64                            
      cr65 mn65                            
      cr66 mn66                            
      cr67 mn67                            
      cr68 mn68                            
      cr69 mn69                            
      cr70 mn70                            
      cr71 mn71                            
      cr72 mn72                            
      cr73 mn73                            
      cr74 mn74                            
      cr75 mn75                            
      cr77 mn77                            
      cr79 mn79                            
      cr81 mn81                            
      cr83 mn83                            
      cr85 mn85                            
      mn40 cr40                            
      mn41 cr41                            
      mn42 cr42                            
      mn43 cr43                            
      mn44 cr44                            
      mn45 cr45                            
      mn46 cr46                            
      mn47 cr47                            
      mn48 cr48                            
      mn49 cr49                            
      mn50 cr50                            
      mn51 cr51                            
      mn52 cr52                            
      mn53 cr53                            
      mn54 cr54                            
      mn54 fe54                            
      mn56 fe56                            
      mn57 fe57                            
      mn58 fe58                            
      mn59 fe59                            
      mn60 fe60                            
      mn61 fe61                            
      mn62 fe62                            
      mn63 fe63                            
      mn64 fe64                            
      mn65 fe65                            
      mn66 fe66                            
      mn67 fe67                            
      mn68 fe68                            
      mn69 fe69                            
      mn70 fe70                            
      mn71 fe71                            
      mn72 fe72                            
      mn73 fe73                            
      mn74 fe74                            
      mn75 fe75                            
      mn76 fe76                            
      mn78 fe78                            
      mn80 fe80                            
      mn82 fe82                            
      mn84 fe84                            
      mn86 fe86                            
      mn88 fe88                            
      fe42 mn42                            
      fe43 mn43                            
      fe44 mn44                            
      fe45 mn45                            
      fe46 mn46                            
      fe47 mn47                            
      fe48 mn48                            
      fe49 mn49                            
      fe50 mn50                            
      fe51 mn51                            
      fe52 mn52                            
      fe53 mn53                            
      fe55 mn55                            
      fe59 co59                            
      fe60 co60                            
      fe61 co61                            
