CODATA 2022 + astrophysical constants
Most quantities have been converted to CGS
Generated on Feb 10, 2025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference:

Mohr, P. , Tiesinga, E. , Newell, D. and Taylor, B. (2024), Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
[online], https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958002, https://physics.nist.gov/constants (Accessed February 10, 2025)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Symbol                    Name                                                              Value Unit                     Uncertainty Source                                       
ch_mol                    molar Planck constant times c                            1.19626566e+08 cm erg / mol          5.40000000e-02 CODATA2022                                   
v_mol_ideal_100kPa        molar volume of ideal gas (273.15 K, 100 kPa)            2.27109546e+04 cm3 / mol             0.00000000e+00 CODATA2022                                   
v_mol_ideal_101.325kPa    molar volume of ideal gas (273.15 K, 101.325 kPa)        2.24139695e+04 cm3 / mol             0.00000000e+00 CODATA2022                                   
vSI_mol                   molar volume of silicon                                  1.20588320e+01 cm3 / mol             6.00000000e-07 CODATA2022                                   
xu                        Mo x unit                                                1.00209952e-11 cm                    5.30000000e-18 CODATA2022                                   
lambda_compt_mu           muon Compton wavelength                                  1.17344411e-12 cm                    2.60000000e-20 CODATA2022                                   
lambda_compt_mu_2pi       muon Compton wavelength over 2 pi                        1.86759431e-13 cm                    4.20000000e-21 CODATA2022                                   
mMu_e                     muon-electron mass ratio                                 2.06768283e+02                       4.60000000e-06 CODATA2022                                   
g_mu                      muon g factor                                           -2.00233184e+00                       1.30000000e-09 CODATA2022                                   
muMu                      muon mag. mom.                                          -4.49044830e-26 J T^-1                1.00000000e-33 CODATA2022                                   
muMu_anom                 muon mag. mom. anomaly                                   1.16592089e-03                       6.30000000e-10 CODATA2022                                   
muMu_Bhor                 muon mag. mom. to Bohr magneton ratio                   -4.84197047e-03                       1.10000000e-10 CODATA2022                                   
muMu_Nuc                  muon mag. mom. to nuclear magneton ratio                -8.89059703e+00                       2.00000000e-07 CODATA2022                                   
mMu                       muon mass                                                1.88353163e-25 g                     4.20000000e-33 CODATA2022                                   
mMu_E                     muon mass energy equivalent                              1.69283380e-04 erg                   3.80000000e-12 CODATA2022                                   
mMu_E_MeV                 muon mass energy equivalent in MeV                       1.69283380e-04 erg                   3.68500626e-12 CODATA2022                                   
mMu_E_u                   muon mass in u                                           1.88353163e-25 g                     4.15134767e-33 CODATA2022                                   
MMu                       muon molar mass                                          1.13428926e-01 g / mol               2.50000000e-09 CODATA2022                                   
mMu_n                     muon-neutron mass ratio                                  1.12454517e-01                       2.50000000e-09 CODATA2022                                   
muMu_p                    muon-proton mag. mom. ratio                             -3.18334514e+00                       7.10000000e-08 CODATA2022                                   
mMu_p                     muon-proton mass ratio                                   1.12609526e-01                       2.50000000e-09 CODATA2022                                   
mMu_tau                   muon-tau mass ratio                                      5.94635000e-02                       4.00000000e-06 CODATA2022                                   
1                         natural unit of action                                   1.05457182e-27 erg s                 0.00000000e+00 CODATA2022                                   
1_eV_s                    natural unit of action in eV s                           1.05457182e-27 erg s                 0.00000000e+00 CODATA2022                                   
E                         natural unit of energy                                   8.18710578e-07 erg                   2.50000000e-16 CODATA2022                                   
E_MeV                     natural unit of energy in MeV                            8.18710578e-07 erg                   2.40326495e-16 CODATA2022                                   
L                         natural unit of length                                   3.86159268e-11 cm                    1.20000000e-20 CODATA2022                                   
M                         natural unit of mass                                     9.10938370e-28 g                     2.80000000e-37 CODATA2022                                   
p                         natural unit of momentum                                 2.73092449e-17 dyn s                 3.40000000e-25 CODATA2022                                   
p_MeV_c                   natural unit of momentum in MeV/c                        5.10998946e-01 MeV/c                 3.10000000e-09 CODATA2022                                   
t                         natural unit of time                                     1.28808867e-21 s                     3.90000000e-31 CODATA2022                                   
v                         natural unit of velocity                                 2.99792458e+10 cm / s                0.00000000e+00 CODATA2022                                   
lambda_compt_n            neutron Compton wavelength                               1.31959091e-13 cm                    7.50000000e-23 CODATA2022                                   
lambda_compt_n_2pi        neutron Compton wavelength over 2 pi                     2.10019415e-14 cm                    1.40000000e-23 CODATA2022                                   
muN_e                     neutron-electron mag. mom. ratio                         1.04066882e-03                       2.50000000e-10 CODATA2022                                   
mN_e                      neutron-electron mass ratio                              1.83868366e+03                       8.90000000e-07 CODATA2022                                   
g_n                       neutron g factor                                        -3.82608545e+00                       9.00000000e-07 CODATA2022                                   
rg_n                      neutron gyromag. ratio                                   1.83247171e+08 s^-1 T^-1             4.30000000e+01 CODATA2022                                   
rg_n_2pi                  neutron gyromag. ratio over 2 pi                         2.91646933e+01 MHz T^-1              6.90000000e-06 CODATA2022                                   
muN                       neutron mag. mom.                                       -9.66236510e-27 J T^-1                2.30000000e-33 CODATA2022                                   
muN_Bhor                  neutron mag. mom. to Bohr magneton ratio                -1.04187563e-03                       2.50000000e-10 CODATA2022                                   
muN_Nuc                   neutron mag. mom. to nuclear magneton ratio             -1.91304273e+00                       4.50000000e-07 CODATA2022                                   
mN                        neutron mass                                             1.67492750e-24 g                     9.50000000e-34 CODATA2022                                   
mN_E                      neutron mass energy equivalent                           1.50534976e-03 erg                   8.60000000e-13 CODATA2022                                   
mN_E_MeV                  neutron mass energy equivalent in MeV                    1.50534976e-03 erg                   8.65175382e-13 CODATA2022                                   
mN_u                      neutron mass in u                                        1.67492750e-24 g                     8.13664143e-34 CODATA2022                                   
MN                        neutron molar mass                                       1.00866492e+00 g / mol               5.70000000e-10 CODATA2022                                   
mN_mu                     neutron-muon mass ratio                                  8.89248406e+00                       2.00000000e-07 CODATA2022                                   
muN_p                     neutron-proton mag. mom. ratio                          -6.84979340e-01                       1.60000000e-07 CODATA2022                                   
mN_p                      neutron-proton mass ratio                                1.00137842e+00                       4.90000000e-10 CODATA2022                                   
mN_tau                    neutron-tau mass ratio                                   5.28779000e-01                       3.60000000e-05 CODATA2022                                   
muN_p_shield              neutron to shielded proton mag. mom. ratio              -6.84996940e-01                       1.60000000e-07 CODATA2022                                   
G                         Newtonian constant of gravitation                        6.67430000e-08 cm3 / (g s2)          1.50000000e-12 CODATA2022                                   
G_hbar_c                  Newtonian constant of gravitation over h-bar c           6.70883000e-39 (GeV/c^2)^-2          1.50000000e-43 CODATA2022                                   
mu_N                      nuclear magneton                                         5.05078375e-27 J T^-1                1.50000000e-36 CODATA2022                                   
mu_N_eV_T                 nuclear magneton in eV/T                                 3.15245126e-08 eV T^-1               9.60000000e-18 CODATA2022                                   
mu_N_invm_T               nuclear magneton in inverse meters per tesla             2.54262343e-02 m^-1 T^-1             1.60000000e-10 CODATA2022                                   
mu_N_K_T                  nuclear magneton in K/T                                  3.65826778e-04 K T^-1                1.10000000e-13 CODATA2022                                   
mu_N_MHz_T                nuclear magneton in MHz/T                                7.62259323e+00 MHz T^-1              2.30000000e-09 CODATA2022                                   
h                         Planck constant                                          6.62607015e-27 erg s                 0.00000000e+00 CODATA2022                                   
h_eV_s                    Planck constant in eV s                                  6.62607009e-27 erg s                 4.00544159e-35 CODATA2022                                   
hbar                      Planck constant over 2 pi                                1.05457180e-27 erg s                 1.30000000e-35 CODATA2022                                   
hbar_eV_s                 Planck constant over 2 pi in eV s                        1.05457181e-27 erg s                 6.40870654e-36 CODATA2022                                   
chbar_MeV                 Planck constant over 2 pi times c in MeV fm              3.16152675e-17 cm erg                1.92261196e-25 CODATA2022                                   
planck_length             Planck length                                            1.61625500e-33 cm                    1.80000000e-38 CODATA2022                                   
planck_mass               Planck mass                                              2.17643400e-05 g                     2.40000000e-10 CODATA2022                                   
planck_mass_E_GeV         Planck mass energy equivalent in GeV                     1.95608143e+16 erg                   2.24304729e+11 CODATA2022                                   
planck_temp               Planck temperature                                       1.41678400e+32 K                     1.60000000e+27 CODATA2022                                   
plank_time                Planck time                                              5.39124700e-44 s                     6.00000000e-49 CODATA2022                                   
qP_mP                     proton charge to mass quotient                           9.57883316e+07 C kg^-1               2.90000000e-02 CODATA2022                                   
lambda_compt_p            proton Compton wavelength                                1.32140986e-13 cm                    4.00000000e-23 CODATA2022                                   
lambda_compt_p_2pi        proton Compton wavelength over 2 pi                      2.10308910e-14 cm                    9.70000000e-24 CODATA2022                                   
mP_e                      proton-electron mass ratio                               1.83615267e+03                       1.10000000e-07 CODATA2022                                   
g_p                       proton g factor                                          5.58569469e+00                       1.60000000e-09 CODATA2022                                   
rg_p                      proton gyromag. ratio                                    2.67522187e+08 s^-1 T^-1             1.10000000e-01 CODATA2022                                   
rg_p_2pi                  proton gyromag. ratio over 2 pi                          4.25774789e+01 MHz T^-1              2.90000000e-07 CODATA2022                                   
muP                       proton mag. mom.                                         1.41060680e-26 J T^-1                6.00000000e-36 CODATA2022                                   
muP_Bhor                  proton mag. mom. to Bohr magneton ratio                  1.52103220e-03                       4.60000000e-13 CODATA2022                                   
muP_Nuc                   proton mag. mom. to nuclear magneton ratio               2.79284734e+00                       8.20000000e-10 CODATA2022                                   
muP_shield                proton mag. shielding correction                         2.56890000e-05                       1.10000000e-08 CODATA2022                                   
mP                        proton mass                                              1.67262192e-24 g                     5.10000000e-34 CODATA2022                                   
mP_E                      proton mass energy equivalent                            1.50327762e-03 erg                   4.60000000e-13 CODATA2022                                   
mP_E_MeV                  proton mass energy equivalent in MeV                     1.50327762e-03 erg                   4.64631224e-13 CODATA2022                                   
mP_u                      proton mass in u                                         1.67262192e-24 g                     8.80085705e-35 CODATA2022                                   
MP                        proton molar mass                                        1.00727647e+00 g / mol               3.10000000e-10 CODATA2022                                   
mP_mu                     proton-muon mass ratio                                   8.88024337e+00                       2.00000000e-07 CODATA2022                                   
muP_n                     proton-neutron mag. mom. ratio                          -1.45989805e+00                       3.40000000e-07 CODATA2022                                   
mP_n                      proton-neutron mass ratio                                9.98623478e-01                       4.90000000e-10 CODATA2022                                   
RrmsP                     proton rms charge radius                                 8.41400000e-14 cm                    1.90000000e-16 CODATA2022                                   
mP_tau                    proton-tau mass ratio                                    5.28051000e-01                       3.60000000e-05 CODATA2022                                   
kappa                     quantum of circulation                                   3.63694755e+00 cm2 / s               1.10000000e-09 CODATA2022                                   
2kappa                    quantum of circulation times 2                           7.27389510e+00 cm2 / s               2.20000000e-09 CODATA2022                                   
Rinf                      Rydberg constant                                         1.09737316e+05 1 / cm                2.10000000e-07 CODATA2022                                   
cRinf_Hz                  Rydberg constant times c in Hz                           3.28984196e+15 1 / s                 6.40000000e+03 CODATA2022                                   
hcRinf_eV                 Rydberg constant times hc in eV                          2.17987236e-11 erg                   4.16565925e-23 CODATA2022                                   
hcRinf_J                  Rydberg constant times hc in J                           2.17987236e-11 erg                   4.20000000e-23 CODATA2022                                   
S0_R_100kPa               Sackur-Tetrode constant (1 K, 100 kPa)                  -1.15170754e+00                       4.50000000e-10 CODATA2022                                   
S0_R_101.325kPa           Sackur-Tetrode constant (1 K, 101.325 kPa)              -1.16487052e+00                       4.50000000e-10 CODATA2022                                   
c2                        second radiation constant                                1.43877688e+00 K cm                  0.00000000e+00 CODATA2022                                   
rg_h_shield               shielded helion gyromag. ratio                           2.03789457e+08 s^-1 T^-1             2.40000000e+00 CODATA2022                                   
rg_h_shield_2pi           shielded helion gyromag. ratio over 2 pi                 3.24340997e+01 MHz T^-1              4.30000000e-07 CODATA2022                                   
muH_shield                shielded helion mag. mom.                               -1.07455309e-26 J T^-1                1.30000000e-34 CODATA2022                                   
muH_shield_Bhor           shielded helion mag. mom. to Bohr magneton ratio        -1.15867147e-03                       1.40000000e-11 CODATA2022                                   
muH_shield_Nuc            shielded helion mag. mom. to nuclear magneton rati      -2.12749772e+00                       2.50000000e-08 CODATA2022                                   
muH_shield_p              shielded helion to proton mag. mom. ratio               -7.61766562e-01                       8.90000000e-09 CODATA2022                                   
muH_shield_p_shield       shielded helion to shielded proton mag. mom. ratio      -7.61786131e-01                       3.30000000e-09 CODATA2022                                   
rg_p_shield               shielded proton gyromag. ratio                           2.67515315e+08 s^-1 T^-1             2.90000000e+00 CODATA2022                                   
rg_p_shield_2pi           shielded proton gyromag. ratio over 2 pi                 4.25763851e+01 MHz T^-1              5.30000000e-07 CODATA2022                                   
muP_shield                shielded proton mag. mom.                                1.41057056e-26 J T^-1                1.50000000e-34 CODATA2022                                   
muP_shield_Bhor           shielded proton mag. mom. to Bohr magneton ratio         1.52099313e-03                       1.70000000e-11 CODATA2022                                   
muP_shield_Nuc            shielded proton mag. mom. to nuclear magneton rati       2.79277560e+00                       3.00000000e-08 CODATA2022                                   
c                         speed of light in vacuum                                 2.99792458e+10 cm / s                0.00000000e+00 CODATA2022                                   
g                         standard acceleration of gravity                         9.80665000e+02 cm / s2               0.00000000e+00 CODATA2022                                   
atm                       standard atmosphere                                      1.01325000e+06 P / s                 0.00000000e+00 CODATA2022                                   
sigma                     Stefan-Boltzmann constant                                5.67037442e-05 g / (s3 K4)           0.00000000e+00 CODATA2022                                   
lambda_compt_tau          tau Compton wavelength                                   6.97771000e-14 cm                    4.70000000e-18 CODATA2022                                   
lambda_compt_tau_2pi      tau Compton wavelength over 2 pi                         1.11056000e-14 cm                    1.00000000e-18 CODATA2022                                   
mTau_e                    tau-electron mass ratio                                  3.47723000e+03                       2.30000000e-01 CODATA2022                                   
mTau                      tau mass                                                 3.16754000e-24 g                     2.10000000e-28 CODATA2022                                   
mTau_E                    tau mass energy equivalent                               2.84684000e-03 erg                   1.90000000e-07 CODATA2022                                   
mTau_E_MeV                tau mass energy equivalent in MeV                        2.84677949e-03 erg                   2.56348261e-07 CODATA2022                                   
mTau_u                    tau mass in u                                            3.16754469e-24 g                     2.15870079e-28 CODATA2022                                   
MTau                      tau molar mass                                           1.90754000e+00 g / mol               1.30000000e-04 CODATA2022                                   
mTau_mu                   tau-muon mass ratio                                      1.68170000e+01                       1.10000000e-03 CODATA2022                                   
mTau_n                    tau-neutron mass ratio                                   1.89115000e+00                       1.30000000e-04 CODATA2022                                   
mTau_p                    tau-proton mass ratio                                    1.89376000e+00                       1.30000000e-04 CODATA2022                                   
sigma_T                   Thomson cross section                                    6.65245873e-25 cm2                   6.00000000e-34 CODATA2022                                   
muPsi_e                   triton-electron mag. mom. ratio                         -1.62051442e-03                       2.10000000e-11 CODATA2022                                   
mPsi_e                    triton-electron mass ratio                               5.49692154e+03                       2.70000000e-07 CODATA2022                                   
g_psi                     triton g factor                                          5.95792493e+00                       1.20000000e-08 CODATA2022                                   
muPsi                     triton mag. mom.                                         1.50460952e-26 J T^-1                3.00000000e-35 CODATA2022                                   
muPsi_Bhor                triton mag. mom. to Bohr magneton ratio                  1.62239367e-03                       3.20000000e-12 CODATA2022                                   
muPsi_Nuc                 triton mag. mom. to nuclear magneton ratio               2.97896247e+00                       5.90000000e-09 CODATA2022                                   
mPsi                      triton mass                                              5.00735674e-24 g                     1.50000000e-33 CODATA2022                                   
mPsi_E                    triton mass energy equivalent                            4.50038781e-03 erg                   1.40000000e-12 CODATA2022                                   
mPsi_E_MeV                triton mass energy equivalent in MeV                     4.50038781e-03 erg                   1.36185014e-12 CODATA2022                                   
mPsi_u                    triton mass in u                                         5.00735674e-24 g                     1.99264688e-34 CODATA2022                                   
MPsi                      triton molar mass                                        3.01550072e+00 g / mol               9.20000000e-10 CODATA2022                                   
muPsi_n                   triton-neutron mag. mom. ratio                          -1.55718553e+00                       3.70000000e-07 CODATA2022                                   
muPsi_p                   triton-proton mag. mom. ratio                            1.06663991e+00                       1.00000000e-08 CODATA2022                                   
mPsi_p                    triton-proton mass ratio                                 2.99371703e+00                       1.50000000e-10 CODATA2022                                   
u                         unified atomic mass unit                                 1.66053907e-24 g                     5.00000000e-34 CODATA2022                                   
R_K                       von Klitzing constant                                    2.58128075e+04 ohm                   0.00000000e+00 CODATA2022                                   
theta_W                   weak mixing angle                                        2.22900000e-01                       3.00000000e-04 CODATA2022                                   
b_freq                    Wien frequency displacement law constant                 5.87892576e+10 1 / (K s)             0.00000000e+00 CODATA2022                                   
b_lambda                  Wien wavelength displacement law constant                2.89777196e-01 K cm                  0.00000000e+00 CODATA2022                                   
auMom_um                  atomic unit of mom.um                                    1.99285188e-19 dyn s                 2.40000000e-27 CODATA2022                                   
mE_h                      electron-helion mass ratio                               1.81954307e-04                       7.90000000e-15 CODATA2022                                   
mE_psi                    electron-triton mass ratio                               1.81920006e-04                       9.00000000e-15 CODATA2022                                   
g_h                       helion g factor                                         -4.25525061e+00                       5.00000000e-08 CODATA2022                                   
muH                       helion mag. mom.                                        -1.07461753e-26 J T^-1                1.30000000e-34 CODATA2022                                   
muH_Bhor                  helion mag. mom. to Bohr magneton ratio                 -1.15874096e-03                       1.40000000e-11 CODATA2022                                   
muH_Nuc                   helion mag. mom. to nuclear magneton ratio              -2.12762531e+00                       2.50000000e-08 CODATA2022                                   
n0                        Loschmidt constant (273.15 K, 100 kPa)                   2.65164580e+19 1 / cm3               0.00000000e+00 CODATA2022                                   
p_um                      natural unit of mom.um                                   2.73092449e-17 dyn s                 3.40000000e-25 CODATA2022                                   
p_um_MeV_c                natural unit of mom.um in MeV/c                          5.10998946e-01 MeV/c                 3.10000000e-09 CODATA2022                                   
mN-mP                     neutron-proton mass difference                           2.30557435e-27 g                     8.20000000e-34 CODATA2022                                   
mN-mP_E                   neutron-proton mass difference energy equivalent         2.07214689e-06 erg                   7.40000000e-13 CODATA2022                                   
mN-mP_E_MeV               neutron-proton mass difference energy equivalent i       2.07214689e-06 erg                   7.37001252e-13 CODATA2022                                   
mN-mP_u                   neutron-proton mass difference in u                      2.30557435e-27 g                     8.13664143e-34 CODATA2022                                   
stp                       standard-state pressure                                  1.00000000e+06 P / s                 0.00000000e+00 CODATA2022                                   
mAlpha                    alpha particle relative atomic mass                      4.00150618e+00                       6.30000000e-11 CODATA2022                                   
muB_invm_T                Bohr magneton in inverse meter per tesla                 4.66864478e+01 m^-1 T^-1             1.40000000e-08 CODATA2022                                   
kB_invm                   Boltzmann constant in inverse meter per kelvin           6.95034800e-01 1 / (K cm)            0.00000000e+00 CODATA2022                                   
ampere-90                 conventional value of ampere-90                          1.00000009e+00 A                     0.00000000e+00 CODATA2022                                   
coulomb-90                conventional value of coulomb-90                         1.00000009e+00 C                     0.00000000e+00 CODATA2022                                   
farad-90                  conventional value of farad-90                           9.99999982e-01 F                     0.00000000e+00 CODATA2022                                   
henry-90                  conventional value of henry-90                           1.00000002e+00 H                     0.00000000e+00 CODATA2022                                   
ohm-90                    conventional value of ohm-90                             1.00000002e+00 ohm                   0.00000000e+00 CODATA2022                                   
volt-90                   conventional value of volt-90                            1.00000011e+00 V                     0.00000000e+00 CODATA2022                                   
watt-90                   conventional value of watt-90                            1.00000020e+07 erg / s               0.00000000e+00 CODATA2022                                   
mD_amu_rel                deuteron relative atomic mass                            2.01355321e+00                       4.00000000e-11 CODATA2022                                   
rg_e_MHz_T                electron gyromag. ratio in MHz/T                         2.80249514e+04 MHz T^-1              8.50000000e-06 CODATA2022                                   
mE_amu_rel                electron relative atomic mass                            5.48579909e-04                       1.60000000e-14 CODATA2022                                   
e_hbar                    elementary charge over h-bar                             1.51926745e+15 A J^-1                0.00000000e+00 CODATA2022                                   
mH_amu_rel                helion relative atomic mass                              3.01493225e+00                       9.70000000e-11 CODATA2022                                   
h_shield_shift            helion shielding shift                                   5.99674300e-05                       1.00000000e-10 CODATA2022                                   
F_hyperfine_Cs-133        hyperfine transition frequency of Cs-133                 9.19263177e+09 1 / s                 0.00000000e+00 CODATA2022                                   
aSi_220_ideal             lattice spacing of ideal Si (220)                        1.92015572e-08 cm                    3.20000000e-16 CODATA2022                                   
eta                       luminous efficacy                                        6.83000000e-05 s3 rad2 cd/(g cm2)    0.00000000e+00 CODATA2022                                   
rg_n_MHz_T                neutron gyromag. ratio in MHz/T                          2.91646931e+01 MHz T^-1              6.90000000e-06 CODATA2022                                   
mN_amu_rel                neutron relative atomic mass                             1.00866492e+00                       4.90000000e-10 CODATA2022                                   
mu_N_invm                 nuclear magneton in inverse meter per tesla              2.54262341e-02 m^-1 T^-1             7.80000000e-12 CODATA2022                                   
h_eV_Hz                   Planck constant in eV/Hz                                 6.62607015e-27 erg s                 0.00000000e+00 CODATA2022                                   
rg_p_MHz_T                proton gyromag. ratio in MHz/T                           4.25774785e+01 MHz T^-1              1.80000000e-08 CODATA2022                                   
mP_amu_rel                proton relative atomic mass                              1.00727647e+00                       5.30000000e-11 CODATA2022                                   
lambda_compt_bar          reduced Compton wavelength                               3.86159268e-11 cm                    1.20000000e-20 CODATA2022                                   
lambda_compt_mu_bar       reduced muon Compton wavelength                          1.86759431e-13 cm                    4.20000000e-21 CODATA2022                                   
lambda_compt_n_bar        reduced neutron Compton wavelength                       2.10019416e-14 cm                    1.20000000e-23 CODATA2022                                   
hbar                      reduced Planck constant                                  1.05457182e-27 erg s                 0.00000000e+00 CODATA2022                                   
hbar_eV_s                 reduced Planck constant in eV s                          1.05457182e-27 erg s                 0.00000000e+00 CODATA2022                                   
chbar_MeV                 reduced Planck constant times c in MeV fm                3.16152677e-17 cm erg                0.00000000e+00 CODATA2022                                   
lambda_compt_p_bar        reduced proton Compton wavelength                        2.10308910e-14 cm                    6.40000000e-24 CODATA2022                                   
lambda_compt_tau_bar      reduced tau Compton wavelength                           1.11053800e-14 cm                    7.50000000e-19 CODATA2022                                   
rg_h_shield_MHz_T         shielded helion gyromag. ratio in MHz/T                  3.24340994e+01 MHz T^-1              3.80000000e-07 CODATA2022                                   
rg_p_shield_MHz_T         shielded proton gyromag. ratio in MHz/T                  4.25763847e+01 MHz T^-1              4.60000000e-07 CODATA2022                                   
d_shield-p_shield_HD      shielding difference of d and p in HD                    2.02000000e-08                       2.00000000e-11 CODATA2022                                   
t_shield-p_shield_HT      shielding difference of t and p in HT                    2.41400000e-08                       2.00000000e-11 CODATA2022                                   
tau_E                     tau energy equivalent                                    2.84684357e-03 erg                   1.92261196e-07 CODATA2022                                   
psi_amu_rel               triton relative atomic mass                              3.01550072e+00                       1.20000000e-10 CODATA2022                                   
muPsi_p                   triton to proton mag. mom. ratio                         1.06663992e+00                       2.10000000e-09 CODATA2022                                   
epsilon0                  vacuum electric permittivity                             8.85418781e-12 F m^-1                1.30000000e-21 CODATA2022                                   
mu0                       vacuum mag. permeability                                 1.25663706e-06 N A^-2                1.90000000e-16 CODATA2022                                   
mWZ                       W to Z mass ratio                                        8.81530000e-01                       1.70000000e-04 CODATA2022                                   
au                        Astronomical Unit                                        1.49597871e+13 cm                    0.00000000e+00 IAU 2012 Resolution B2                       
pc                        Parsec                                                   3.08567758e+18 cm                    0.00000000e+00 Derived from au + IAU 2015 Resolution B 2 note [4]
kpc                       Kiloparsec                                               3.08567758e+21 cm                    0.00000000e+00 Derived from au + IAU 2015 Resolution B 2 note [4]
L_bol0                    Luminosity for absolute bolometric magnitude 0           3.01280000e+35 erg / s               0.00000000e+00 IAU 2015 Resolution B 2                      
L_sun                     Nominal solar luminosity                                 3.82800000e+33 erg / s               0.00000000e+00 IAU 2015 Resolution B 3                      
GM_sun                    Nominal solar mass parameter                             1.32712440e+26 cm3 / s2              0.00000000e+00 IAU 2015 Resolution B 3                      
M_sun                     Solar mass                                               1.98840987e+33 g                     4.46880543e+28 IAU 2015 Resolution B 3 + CODATA 2018        
R_sun                     Nominal solar radius                                     6.95700000e+10 cm                    0.00000000e+00 IAU 2015 Resolution B 3                      
GM_jup                    Nominal Jupiter mass parameter                           1.26686530e+23 cm3 / s2              0.00000000e+00 IAU 2015 Resolution B 3                      
M_jup                     Jupiter mass                                             1.89812460e+30 g                     4.26589589e+25 IAU 2015 Resolution B 3 + CODATA 2018        
R_jup                     Nominal Jupiter equatorial radius                        7.14920000e+09 cm                    0.00000000e+00 IAU 2015 Resolution B 3                      
GM_earth                  Nominal Earth mass parameter                             3.98600400e+20 cm3 / s2              0.00000000e+00 IAU 2015 Resolution B 3                      
M_earth                   Earth mass                                               5.97216787e+27 g                     1.34220095e+23 IAU 2015 Resolution B 3 + CODATA 2018        
R_earth                   Nominal Earth equatorial radius                          6.37810000e+08 cm                    0.00000000e+00 IAU 2015 Resolution B 3                      
MeV_to_erg                MeV to erg conversion factor                             1.60217663e-06 erg                   0.00000000e+00 Unit Conversion Factor
