CODATA 2022 + astrophysical constants
Most quantities have been converted to CGS
Generated on Feb 10, 2025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference:

Mohr, P. , Tiesinga, E. , Newell, D. and Taylor, B. (2024), Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
[online], https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958002, https://physics.nist.gov/constants (Accessed February 10, 2025)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Symbol                    Name                                                              Value Unit                     Uncertainty Source                                       
muH_shield_Bhor           shielded helion magn. moment to Bohr magneton rati      -1.15867147e-03                       1.40000000e-11 CODATA2022                                   
muH_shield_Nuc            shielded helion magn. moment to nuclear magneton r      -2.12749772e+00                       2.50000000e-08 CODATA2022                                   
muH_shield_p              shielded helion to proton magn. moment ratio            -7.61766562e-01                       1.20000000e-08 CODATA2022                                   
muH_shield_p_shield       shielded helion to shielded proton magn. moment ra      -7.61786131e-01                       3.30000000e-09 CODATA2022                                   
muP_shield                shielded proton magn. moment                             1.41057047e-26 J T^-1                1.20000000e-33 CODATA2022                                   
muP_shield_Bhor           shielded proton magn. moment to Bohr magneton rati       1.52099313e-03                       1.60000000e-11 CODATA2022                                   
muP_shield_Nuc            shielded proton magn. moment to nuclear magneton r       2.79277560e+00                       3.00000000e-08 CODATA2022                                   
aSi_220                   {220} lattice spacing of silicon                         1.92015571e-08 cm                    3.20000000e-16 CODATA2022                                   
aSi                       lattice spacing of silicon                               1.92015576e-08 cm                    5.00000000e-16 CODATA2022                                   
mAlpha_e                  alpha particle-electron mass ratio                       7.29429954e+03                       2.40000000e-07 CODATA2022                                   
mAlpha                    alpha particle mass                                      6.64465734e-24 g                     2.00000000e-33 CODATA2022                                   
EAlpha                    alpha particle mass energy equivalent                    5.97192019e-03 erg                   1.80000000e-12 CODATA2022                                   
EAlpha_MeV                alpha particle mass energy equivalent in MeV             5.97192019e-03 erg                   1.76239430e-12 CODATA2022                                   
mAlpha_u                  alpha particle mass in u                                 6.64465734e-24 g                     1.04613961e-34 CODATA2022                                   
MAlpha                    alpha particle molar mass                                4.00150618e+00 g / mol               1.20000000e-09 CODATA2022                                   
mAlpha_p                  alpha particle-proton mass ratio                         3.97259969e+00                       2.20000000e-10 CODATA2022                                   
angstromStar              Angstrom star                                            1.00001495e-08 cm                    9.00000000e-15 CODATA2022                                   
mU                        atomic mass constant                                     1.66053907e-24 g                     5.00000000e-34 CODATA2022                                   
mU_E                      atomic mass constant energy equivalent                   1.49241809e-03 erg                   4.50000000e-13 CODATA2022                                   
mU_E_MeV                  atomic mass constant energy equivalent in MeV            1.49241809e-03 erg                   4.48609458e-13 CODATA2022                                   
mU_eV                     atomic mass unit-electron volt relationship              1.49241809e-03 erg                   4.48609458e-13 CODATA2022                                   
mU_hartree                atomic mass unit-hartree relationship                    3.42317769e+07 E_h                   1.00000000e-02 CODATA2022                                   
mU_Hz                     atomic mass unit-hertz relationship                      2.25234272e+23 1 / s                 6.80000000e+13 CODATA2022                                   
mU_invm                   atomic mass unit-inverse meter relationship              7.51300661e+12 1 / cm                2.30000000e+03 CODATA2022                                   
mU_J                      atomic mass unit-joule relationship                      1.49241809e-03 erg                   4.50000000e-13 CODATA2022                                   
